feature,importance
trigger_rain_active,0.45266685
n_triggers_active,0.3351135
precipitation_sum,0.04097268
rain_squared,0.03214652
trigger_flood_active,0.031449653
is_coastal,0.019061087
rolling_7d_rain,0.01627209
rain_wind_interaction,0.013281775
elevation,0.011516632
trigger_heat_active,0.009318743
temp_squared,0.007396998
temperature_2m_max,0.0067172996
zone_safety_score,0.0060872566
trigger_storm_active,0.0027385254
trigger_visibility_active,0.0022284747
shortwave_radiation_sum,0.0020681322
latitude,0.0016287321
precipitation_hours,0.0014750235
distance_to_coast,0.0012311328
rolling_3d_temp,0.000967628
wind_squared,0.00087995525
wind_speed_10m_max,0.0006840957
longitude,0.0006799608
rain_wind_ratio,0.0006379029
wind_gusts_10m_max,0.000551148
apparent_temperature_max,0.00054200395
sin_time,0.00047264196
heat_index_proxy,0.00043572983
cos_time,0.0004258338
is_weekend,0.00035192788
