date,city,temperature_2m_max,apparent_temperature_max,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,latitude,longitude,gps_tag,rolling_7d_rain,rolling_3d_temp,sin_time,cos_time,is_weekend,rain_wind_interaction,rain_squared,wind_squared,temp_squared,rain_wind_ratio,heat_index_proxy,elevation,is_coastal,distance_to_coast,zone_safety_score,trigger_rain_active,trigger_heat_active,trigger_storm_active,trigger_flood_active,trigger_visibility_active,n_triggers_active,loss_ratio
2015-01-01,Mumbai,26.204,26.68115,0.0,0.0,13.276144,24.48,13.53,19.076,72.877,west_coast_low,0.0,26.204,0.017201575418260506,0.9998520419557735,0,0.0,0.0,176.255999508736,686.649616,0.0,12.0223952,8.0,1.0,0.07,0.0335,0,0,0,1,0,1,0.1153
2015-01-02,Mumbai,26.254,27.40932,0.0,0.0,10.931203,22.319998,16.29,19.076,72.877,west_coast_low,0.0,26.229,0.03439806061360801,0.9994082116062598,0,0.0,0.0,119.491199027209,689.2725160000001,0.0,9.146893600000002,8.0,1.0,0.07,0.0335,0,0,0,1,0,1,0.1509
2015-01-03,Mumbai,27.604,29.303791,0.0,0.0,13.397612,21.96,16.23,19.076,72.877,west_coast_low,0.0,26.68733333333333,0.051584366869408364,0.9986686402879997,1,0.0,0.0,179.496007302544,761.980816,0.0,9.6834832,8.0,1.0,0.07,0.0335,0,0,0,1,0,1,0.1279
2015-01-04,Mumbai,30.254,31.88636,0.0,0.0,14.458382,22.68,16.95,19.076,72.877,west_coast_low,0.0,28.037333333333333,0.06875540848113941,0.9976335468520451,1,0.0,0.0,209.044810057924,915.304516,0.0,9.741788000000003,8.0,1.0,0.07,0.0335,0,0,0,1,0,1,0.1266
2015-01-05,Mumbai,30.354,32.03167,0.0,0.0,16.489416,25.919998,18.17,19.076,72.877,west_coast_low,0.0,29.403999999999996,0.08590610426133272,0.9963032375991965,0,0.0,0.0,271.90084002105596,921.365316,0.0,8.292712799999997,8.0,1.0,0.07,0.0335,0,0,0,1,0,1,0.1267
2015-01-06,Mumbai,29.704,32.045574,0.0,0.0,15.459054,24.84,18.1,19.076,72.877,west_coast_low,0.0,30.104,0.10303137904317879,0.9946781061893646,0,0.0,0.0,238.982350574916,882.327616,0.0,8.198303999999997,8.0,1.0,0.07,0.0335,0,0,0,1,0,1,0.1217
2015-01-07,Mumbai,28.804,29.597763,0.0,0.0,15.496736,25.919998,18.8,19.076,72.877,west_coast_low,0.0,29.620666666666665,0.1201261651823505,0.9927586335250793,0,0.0,0.0,240.148826653696,829.6704159999999,0.0,7.1433919999999995,8.0,1.0,0.07,0.0335,0,0,0,1,0,1,0.1399
2015-01-08,Mumbai,30.004,31.145962,0.0,0.0,14.277983,23.4,18.72,19.076,72.877,west_coast_low,0.0,29.504,0.13718540405660057,0.9905453876091833,0,0.0,0.0,203.860798548289,900.2400160000001,0.0,7.537004800000003,8.0,1.0,0.07,0.0335,0,0,0,1,0,1,0.1107
2015-01-09,Mumbai,30.704,30.92754,0.0,0.0,13.698934,24.84,18.83,19.076,72.877,west_coast_low,0.0,29.837333333333333,0.1542040475626894,0.988039023376751,0,0.0,0.0,187.66079273635597,942.735616,0.0,7.577747200000001,8.0,1.0,0.07,0.0335,0,0,0,1,0,1,0.1403
2015-01-10,Mumbai,30.354,30.723682,0.0,0.0,14.982228,25.199999,19.33,19.076,72.877,west_coast_low,0.0,30.354,0.17117705961019986,0.985240282501282,1,0.0,0.0,224.467155843984,921.365316,0.0,6.884287200000003,8.0,1.0,0.07,0.0335,0,0,0,1,0,1,0.1113
2015-01-11,Mumbai,30.204,30.225163,0.0,0.0,14.658676,21.599998,19.6,19.076,72.877,west_coast_low,0.0,30.420666666666666,0.18809941761179758,0.9821499931752291,1,0.0,0.0,214.876782072976,912.281616,0.0,6.524063999999999,8.0,1.0,0.07,0.0335,0,0,0,1,0,1,0.1367
2015-01-12,Mumbai,29.804,30.384773,0.0,0.0,14.345898,20.880001,19.61,19.076,72.877,west_coast_low,0.0,30.120666666666665,0.20496611396949532,0.9787690698649216,0,0.0,0.0,205.804789426404,888.2784159999999,0.0,6.4257424,8.0,1.0,0.07,0.0335,0,0,0,1,0,1,0.1544
2015-01-13,Mumbai,28.704,29.52552,0.0,0.0,14.24163,25.199999,19.64,19.076,72.877,west_coast_low,0.0,29.570666666666668,0.22177215755648186,0.975098513039961,0,0.0,0.0,202.8240250569,823.919616,0.0,6.154137599999998,8.0,1.0,0.07,0.0335,0,0,0,1,0,1,0.1259
2015-01-14,Mumbai,28.954,29.276405,0.0,0.0,14.113652,24.48,19.34,19.076,72.877,west_coast_low,0.0,29.154,0.23851257519407648,0.9711394088771653,0,0.0,0.0,199.195172777104,838.334116,0.0,6.5551856000000015,8.0,1.0,0.07,0.0335,0,0,0,1,0,1,0.136
2015-01-15,Mumbai,29.604,30.545807,0.0,0.0,14.007655,24.119999,19.38,19.076,72.877,west_coast_low,0.0,29.087333333333333,0.2551824131233728,0.9668929289391521,0,0.0,0.0,196.214398599025,876.396816,0.0,6.6549792,8.0,1.0,0.07,0.0335,0,0,0,1,0,1,0.1636
2015-01-16,Mumbai,29.904,31.341778,0.0,0.0,13.1041975,21.96,19.31,19.076,72.877,west_coast_low,0.0,29.487333333333336,0.2717767384711357,0.9623603298276545,0,0.0,0.0,171.71999211900624,894.249216,0.0,6.806150400000001,8.0,1.0,0.07,0.0335,0,0,0,1,0,1,0.1257
2015-01-17,Mumbai,30.454,31.604343,0.0,0.0,13.5515,20.519999,19.26,19.076,72.877,west_coast_low,0.0,29.98733333333333,0.2882906407095177,0.9575429528116719,1,0.0,0.0,183.64315225,927.4461160000001,0.0,6.992238399999998,8.0,1.0,0.07,0.0335,0,0,0,1,0,1,0.1223
