feature,importance
trigger_rain_active,0.47013465
n_triggers_active,0.18563807
trigger_heat_active,0.07414266
precipitation_sum,0.060018014
rain_squared,0.054758582
trigger_flood_active,0.052328847
rain_wind_interaction,0.023304183
zone_safety_score,0.014697631
rolling_7d_rain,0.009978357
trigger_visibility_active,0.008799981
temperature_2m_max,0.008421104
elevation,0.004463646
temp_squared,0.004388536
is_coastal,0.003920066
expected_orders_drop,0.003661933
latitude,0.0031473269
shortwave_radiation_sum,0.002665676
distance_to_coast,0.0025501326
trigger_storm_active,0.0019693356
longitude,0.0012967082
rolling_3d_temp,0.0012278173
month_rain_interaction,0.0012143261
rain_lag1,0.0010951044
consecutive_disruption_days,0.00084960985
apparent_temperature_max,0.0006806859
temp_lag1,0.00061953656
rain_intensity,0.00058758055
precipitation_hours,0.0004973106
temp_humidity_gap,0.00038061445
wind_speed_10m_max,0.00037155408
heat_index_proxy,0.0003256107
rain_wind_ratio,0.00031348536
is_extreme_temp,0.0002559673
month_temp_interaction,0.00025405292
cos_time,0.00024822488
sin_time,0.00022402203
month,0.00020037129
is_weekend,0.00018857166
is_extreme_rain,0.00018025728
