date,temperature_2m_max,apparent_temperature_max,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,gps_tag,latitude,longitude
2015-01-01,18.8,16.8,0.0,0.0,19.6,46.8,9.13,aravalli_udaipur,24.585,73.712
2015-01-02,19.9,18.8,0.0,0.0,15.3,33.5,7.85,aravalli_udaipur,24.585,73.712
2015-01-03,22.7,21.9,0.0,0.0,6.8,18.4,14.45,aravalli_udaipur,24.585,73.712
2015-01-04,22.5,20.0,0.0,0.0,12.6,29.2,16.48,aravalli_udaipur,24.585,73.712
2015-01-05,24.3,22.2,0.0,0.0,9.6,24.1,16.97,aravalli_udaipur,24.585,73.712
2015-01-06,26.0,23.3,0.0,0.0,9.5,25.6,17.02,aravalli_udaipur,24.585,73.712
2015-01-07,25.6,24.1,0.0,0.0,7.7,16.6,16.93,aravalli_udaipur,24.585,73.712
2015-01-08,24.9,23.4,0.0,0.0,9.4,22.7,17.07,aravalli_udaipur,24.585,73.712
2015-01-09,25.5,24.3,0.0,0.0,6.8,19.4,17.1,aravalli_udaipur,24.585,73.712
2015-01-10,26.9,24.8,0.0,0.0,8.3,17.6,17.28,aravalli_udaipur,24.585,73.712
2015-01-11,28.1,26.5,0.0,0.0,8.3,21.2,17.43,aravalli_udaipur,24.585,73.712
2015-01-12,28.2,26.8,0.0,0.0,9.3,17.6,17.59,aravalli_udaipur,24.585,73.712
2015-01-13,26.8,24.4,0.0,0.0,10.3,27.0,17.5,aravalli_udaipur,24.585,73.712
2015-01-14,24.4,22.3,0.2,2.0,13.3,28.1,13.94,aravalli_udaipur,24.585,73.712
2015-01-15,22.3,21.7,0.0,0.0,13.8,30.6,17.33,aravalli_udaipur,24.585,73.712
2015-01-16,22.6,22.2,0.0,0.0,9.6,26.3,17.57,aravalli_udaipur,24.585,73.712
2015-01-17,21.8,20.0,0.0,0.0,10.7,27.7,17.85,aravalli_udaipur,24.585,73.712
2015-01-18,22.3,20.7,0.0,0.0,8.9,23.0,17.9,aravalli_udaipur,24.585,73.712
2015-01-19,23.0,21.0,0.0,0.0,9.8,26.6,18.0,aravalli_udaipur,24.585,73.712
2015-01-20,23.6,21.3,0.0,0.0,15.5,35.6,15.42,aravalli_udaipur,24.585,73.712
2015-01-21,23.5,21.4,1.1,2.0,14.4,31.3,13.04,aravalli_udaipur,24.585,73.712
2015-01-22,23.0,21.4,2.4,4.0,14.8,36.0,14.35,aravalli_udaipur,24.585,73.712
2015-01-23,21.2,19.8,0.0,0.0,10.4,24.1,15.23,aravalli_udaipur,24.585,73.712
2015-01-24,20.6,19.8,0.0,0.0,12.7,31.7,16.79,aravalli_udaipur,24.585,73.712
2015-01-25,20.5,21.0,0.2,2.0,9.4,24.1,13.29,aravalli_udaipur,24.585,73.712
2015-01-26,21.1,19.7,0.0,0.0,10.1,25.9,17.03,aravalli_udaipur,24.585,73.712
2015-01-27,20.6,19.0,0.0,0.0,10.2,27.4,18.09,aravalli_udaipur,24.585,73.712
2015-01-28,19.9,17.7,0.0,0.0,12.6,33.1,18.83,aravalli_udaipur,24.585,73.712
2015-01-29,23.2,20.9,0.0,0.0,8.9,22.0,18.95,aravalli_udaipur,24.585,73.712
2015-01-30,23.0,20.5,0.0,0.0,9.8,24.8,18.85,aravalli_udaipur,24.585,73.712
2015-01-31,25.7,24.1,0.0,0.0,9.6,19.8,18.95,aravalli_udaipur,24.585,73.712
2015-02-01,26.5,24.0,0.0,0.0,13.8,32.8,18.93,aravalli_udaipur,24.585,73.712
2015-02-02,27.3,25.2,0.0,0.0,14.0,32.8,18.77,aravalli_udaipur,24.585,73.712
2015-02-03,26.1,26.3,0.0,0.0,11.6,21.6,18.9,aravalli_udaipur,24.585,73.712
2015-02-04,24.7,22.4,0.0,0.0,14.8,35.6,19.49,aravalli_udaipur,24.585,73.712
2015-02-05,24.9,24.1,0.0,0.0,10.5,26.3,19.37,aravalli_udaipur,24.585,73.712
2015-02-06,25.7,25.3,0.0,0.0,7.9,28.4,17.54,aravalli_udaipur,24.585,73.712
2015-02-07,27.0,25.4,0.0,0.0,9.9,26.6,19.32,aravalli_udaipur,24.585,73.712
2015-02-08,26.0,24.6,0.0,0.0,9.8,23.4,18.96,aravalli_udaipur,24.585,73.712
2015-02-09,24.4,22.8,0.0,0.0,13.4,34.2,18.2,aravalli_udaipur,24.585,73.712
2015-02-10,25.2,24.6,0.0,0.0,13.2,34.2,19.88,aravalli_udaipur,24.585,73.712
2015-02-11,27.1,26.8,0.0,0.0,12.1,23.4,19.51,aravalli_udaipur,24.585,73.712
2015-02-12,27.2,24.6,0.0,0.0,12.2,27.7,20.42,aravalli_udaipur,24.585,73.712
2015-02-13,28.9,27.9,0.0,0.0,9.5,20.2,20.32,aravalli_udaipur,24.585,73.712
2015-02-14,30.9,28.3,0.0,0.0,16.6,37.1,20.47,aravalli_udaipur,24.585,73.712
2015-02-15,30.9,31.0,0.0,0.0,8.9,19.8,20.4,aravalli_udaipur,24.585,73.712
2015-02-16,31.6,29.0,0.0,0.0,16.6,37.4,20.74,aravalli_udaipur,24.585,73.712
2015-02-17,31.5,31.4,0.0,0.0,10.5,22.3,20.68,aravalli_udaipur,24.585,73.712
