city,lat,lon,week_start_date,max_weekly_temp_c,total_weekly_precip_mm,max_daily_precip_mm,max_weekly_wind_kmh,disruption_occurred
Delhi,28.6139,77.209,2014-01-06,19.6,0.0,0.0,14.0,0
Delhi,28.6139,77.209,2014-01-13,19.5,0.0,0.0,14.7,0
Delhi,28.6139,77.209,2014-01-20,19.7,27.400000000000002,19.1,18.1,0
Delhi,28.6139,77.209,2014-01-27,21.4,26.7,22.4,18.2,0
Delhi,28.6139,77.209,2014-02-03,24.5,0.0,0.0,15.6,0
Delhi,28.6139,77.209,2014-02-10,23.9,2.1,1.3,18.1,0
Delhi,28.6139,77.209,2014-02-17,19.8,15.899999999999999,14.7,21.9,0
Delhi,28.6139,77.209,2014-02-24,23.4,0.5,0.5,19.2,0
Delhi,28.6139,77.209,2014-03-03,24.4,14.899999999999999,8.2,15.6,0
Delhi,28.6139,77.209,2014-03-10,27.0,2.8,1.7,19.3,0
Delhi,28.6139,77.209,2014-03-17,31.1,27.799999999999997,17.2,25.9,0
Delhi,28.6139,77.209,2014-03-24,30.4,2.3,1.1,18.1,0
Delhi,28.6139,77.209,2014-03-31,30.5,0.7000000000000001,0.4,20.7,0
Delhi,28.6139,77.209,2014-04-07,36.2,1.6,1.5,20.3,0
Delhi,28.6139,77.209,2014-04-14,35.6,2.0,1.0,23.6,0
Delhi,28.6139,77.209,2014-04-21,35.2,14.2,11.0,15.5,0
Delhi,28.6139,77.209,2014-04-28,39.0,0.2,0.2,20.5,0
Delhi,28.6139,77.209,2014-05-05,42.2,3.9999999999999996,2.3,18.1,0
Delhi,28.6139,77.209,2014-05-12,39.7,4.9,1.9,21.1,0
Delhi,28.6139,77.209,2014-05-19,38.0,0.0,0.0,19.2,0
Delhi,28.6139,77.209,2014-05-26,42.1,3.1,1.6,22.7,0
Delhi,28.6139,77.209,2014-06-02,41.9,1.1,0.9,18.6,0
Delhi,28.6139,77.209,2014-06-09,44.9,0.0,0.0,19.8,0
Delhi,28.6139,77.209,2014-06-16,44.3,3.4000000000000004,1.8,31.3,0
Delhi,28.6139,77.209,2014-06-23,42.0,4.2,2.9,24.2,0
Delhi,28.6139,77.209,2014-06-30,39.3,10.2,5.0,18.4,0
Delhi,28.6139,77.209,2014-07-07,39.1,4.6000000000000005,2.6,17.3,0
Delhi,28.6139,77.209,2014-07-14,41.4,2.0,1.6,24.0,0
Delhi,28.6139,77.209,2014-07-21,36.7,45.1,19.3,19.8,0
Delhi,28.6139,77.209,2014-07-28,34.4,17.1,7.2,22.7,0
Delhi,28.6139,77.209,2014-08-04,34.0,89.0,32.8,16.3,0
Delhi,28.6139,77.209,2014-08-11,33.3,34.6,22.2,21.5,0
Delhi,28.6139,77.209,2014-08-18,34.3,5.3999999999999995,3.8,23.2,0
Delhi,28.6139,77.209,2014-08-25,39.5,0.0,0.0,18.4,0
Delhi,28.6139,77.209,2014-09-01,39.2,20.099999999999998,5.6,24.4,0
Delhi,28.6139,77.209,2014-09-08,32.3,72.7,24.9,26.4,0
Delhi,28.6139,77.209,2014-09-15,32.9,18.799999999999997,10.7,13.8,0
Delhi,28.6139,77.209,2014-09-22,36.1,0.4,0.3,18.2,0
Delhi,28.6139,77.209,2014-09-29,36.1,0.0,0.0,22.4,0
Delhi,28.6139,77.209,2014-10-06,36.9,0.0,0.0,14.4,0
Delhi,28.6139,77.209,2014-10-13,35.3,0.5,0.5,17.7,0
Delhi,28.6139,77.209,2014-10-20,32.3,4.2,3.7,17.3,0
Delhi,28.6139,77.209,2014-10-27,32.5,2.4,2.4,18.6,0
Delhi,28.6139,77.209,2014-11-03,31.7,0.1,0.1,16.9,0
Delhi,28.6139,77.209,2014-11-10,31.6,0.0,0.0,16.5,0
Delhi,28.6139,77.209,2014-11-17,28.1,0.0,0.0,15.1,0
Delhi,28.6139,77.209,2014-11-24,27.0,0.0,0.0,12.5,0
Delhi,28.6139,77.209,2014-12-01,28.7,0.0,0.0,19.4,0
Delhi,28.6139,77.209,2014-12-08,27.7,0.0,0.0,21.1,0
Delhi,28.6139,77.209,2014-12-15,25.1,6.6,4.3,20.5,0
Delhi,28.6139,77.209,2014-12-22,19.9,0.0,0.0,16.8,0
Delhi,28.6139,77.209,2014-12-29,19.7,0.0,0.0,19.6,0
Delhi,28.6139,77.209,2015-01-05,21.3,4.3,4.2,27.0,0
Delhi,28.6139,77.209,2015-01-12,20.6,0.0,0.0,21.7,0
Delhi,28.6139,77.209,2015-01-19,20.4,4.1,4.1,19.7,0
Delhi,28.6139,77.209,2015-01-26,19.2,20.8,17.0,17.0,0
Delhi,28.6139,77.209,2015-02-02,21.7,1.2,1.2,21.0,0
Delhi,28.6139,77.209,2015-02-09,23.1,15.299999999999999,13.2,19.5,0
Delhi,28.6139,77.209,2015-02-16,26.5,0.0,0.0,21.9,0
Delhi,28.6139,77.209,2015-02-23,27.1,15.2,12.0,25.1,0
Delhi,28.6139,77.209,2015-03-02,27.2,51.2,22.9,30.8,0
Delhi,28.6139,77.209,2015-03-09,25.5,16.3,10.5,18.8,0
Delhi,28.6139,77.209,2015-03-16,26.5,34.300000000000004,20.6,19.6,0
Delhi,28.6139,77.209,2015-03-23,31.1,0.0,0.0,18.6,0
Delhi,28.6139,77.209,2015-03-30,34.1,5.5,5.1,24.5,0
Delhi,28.6139,77.209,2015-04-06,33.3,29.3,17.8,15.4,0
Delhi,28.6139,77.209,2015-04-13,34.1,13.0,7.1,17.1,0
Delhi,28.6139,77.209,2015-04-20,39.4,0.7,0.6,18.5,0
Delhi,28.6139,77.209,2015-04-27,39.3,1.2,0.9,25.6,0
Delhi,28.6139,77.209,2015-05-04,38.9,5.0,3.9,27.3,0
Delhi,28.6139,77.209,2015-05-11,42.7,0.8,0.8,21.6,0
Delhi,28.6139,77.209,2015-05-18,41.2,12.2,5.8,24.4,0
Delhi,28.6139,77.209,2015-05-25,44.1,1.4,1.4,23.7,0
Delhi,28.6139,77.209,2015-06-01,44.0,0.30000000000000004,0.2,20.5,0
Delhi,28.6139,77.209,2015-06-08,42.5,0.9,0.5,17.1,0
Delhi,28.6139,77.209,2015-06-15,42.6,12.3,5.6,29.3,0
Delhi,28.6139,77.209,2015-06-22,39.2,3.9,1.7,22.3,0
Delhi,28.6139,77.209,2015-06-29,38.2,49.8,32.6,19.0,0
Delhi,28.6139,77.209,2015-07-06,37.3,21.3,12.3,23.8,0
Delhi,28.6139,77.209,2015-07-13,32.0,163.5,61.6,20.0,1
Delhi,28.6139,77.209,2015-07-20,34.8,73.5,35.2,23.6,0
Delhi,28.6139,77.209,2015-07-27,32.1,15.9,5.6,30.8,0
Delhi,28.6139,77.209,2015-08-03,33.0,11.3,5.5,23.4,0
Delhi,28.6139,77.209,2015-08-10,33.0,116.60000000000001,53.0,13.1,1
Delhi,28.6139,77.209,2015-08-17,33.1,36.4,11.1,14.9,0
Delhi,28.6139,77.209,2015-08-24,33.6,13.4,5.1,20.9,0
Delhi,28.6139,77.209,2015-08-31,34.3,2.5,1.6,19.2,0
Delhi,28.6139,77.209,2015-09-07,34.8,0.0,0.0,19.4,0
